辽宁联通组播,#genre#
兵团卫视,http://111.193.236.223:4022/rtp/239.3.1.144:4120
厦门卫视,http://111.193.236.223:4022/rtp/239.3.1.143:4120
四川卫视,http://111.193.236.223:4022/rtp/239.3.1.29:8288
南方卫视,http://111.193.236.223:4022/rtp/239.3.1.161:8001
宁夏卫视,http://111.193.236.223:4022/rtp/239.3.1.46:8124
山西卫视,http://111.193.236.223:4022/rtp/239.3.1.42:8172
广西卫视,http://111.193.236.223:4022/rtp/239.3.1.39:8300
新疆卫视,http://111.193.236.223:4022/rtp/239.3.1.48:8160
河南卫视,http://111.193.236.223:4022/rtp/239.3.1.27:8128
甘肃卫视,http://111.193.236.223:4022/rtp/239.3.1.49:8188
西藏卫视,http://111.193.236.223:4022/rtp/239.3.1.47:8164
三沙卫视,http://111.193.236.223:4022/rtp/239.3.1.155:4120
陕西卫视,http://111.193.236.223:4022/rtp/239.3.1.41:8140
青海卫视,http://111.193.236.223:4022/rtp/239.3.1.44:8184
内蒙古卫视,http://111.193.236.223:4022/rtp/239.3.1.43:8176
中国交通HD,http://111.193.236.223:4022/rtp/239.3.1.188:8001
朝阳融媒HD,http://111.193.236.223:4022/rtp/239.3.1.163:8001
通州融媒HD,http://111.193.236.223:4022/rtp/239.3.1.221:8001
密云电视台HD,http://111.193.236.223:4022/rtp/239.3.1.154:8001
延庆电视台,http://111.193.236.223:4022/rtp/239.3.1.187:8001
房山电视台,http://111.193.236.223:4022/rtp/239.3.1.96:8001
CCTV-4 中文国际 欧洲HD,http://111.193.236.223:4022/rtp/239.3.1.213:4220
CCTV-4 中文国际 美洲HD,http://111.193.236.223:4022/rtp/239.3.1.214:4220
CGTN 新闻HD,http://111.193.236.223:4022/rtp/239.3.1.215:4220
CGTN 记录HD,http://111.193.236.223:4022/rtp/239.3.1.216:4220
CGTN 西班牙语HD,http://111.193.236.223:4022/rtp/239.3.1.217:4220
CGTN 法语HD,http://111.193.236.223:4022/rtp/239.3.1.218:4220
CGTN 阿拉伯语HD,http://111.193.236.223:4022/rtp/239.3.1.219:4220
CGTN 俄语HD,http://111.193.236.223:4022/rtp/239.3.1.220:4220
睛彩竞技HD,http://111.193.236.223:4022/rtp/239.3.1.125:8001
睛彩篮球HD,http://111.193.236.223:4022/rtp/239.3.1.126:8001
睛彩羽毛球HD,http://111.193.236.223:4022/rtp/239.3.1.127:8001
睛彩广场舞HD,http://111.193.236.223:4022/rtp/239.3.1.128:8001
茶频道HD,http://111.193.236.223:4022/rtp/239.3.1.165:8001
体育赛事HD,http://111.193.236.223:4022/rtp/239.3.1.157:8176
淘精彩HD,http://111.193.236.223:4022/rtp/239.3.1.178:8001
快乐垂钓HD,http://111.193.236.223:4022/rtp/239.3.1.164:8001
大健康HD,http://111.193.236.223:4022/rtp/239.3.1.251:8001
CETV1HD,http://111.193.236.223:4022/rtp/239.3.1.57:8152
CETV2,http://111.193.236.223:4022/rtp/239.3.1.54:4120
CETV3,http://111.193.236.223:4022/rtp/239.3.1.55:4120
CETV4,http://111.193.236.223:4022/rtp/239.3.1.56:4120
少儿动画,http://111.193.236.223:4022/rtp/239.3.1.199:9000
热播剧场,http://111.193.236.223:4022/rtp/239.3.1.194:9020
解密,http://111.193.236.223:4022/rtp/239.3.1.75:4120
军事,http://111.193.236.223:4022/rtp/239.3.1.76:4120
军旅剧场,http://111.193.236.223:4022/rtp/239.3.1.68:4120
动画,http://111.193.236.223:4022/rtp/239.3.1.80:4120
古装剧场,http://111.193.236.223:4022/rtp/239.3.1.69:4120
台球,http://111.193.236.223:4022/rtp/239.3.1.85:4120
嘉佳卡通,http://111.193.236.223:4022/rtp/239.3.1.147:9268
国学,http://111.193.236.223:4022/rtp/239.3.1.77:4120
城市剧场,http://111.193.236.223:4022/rtp/239.3.1.67:4120
墨宝,http://111.193.236.223:4022/rtp/239.3.1.83:4120
好学生,http://111.193.236.223:4022/rtp/239.3.1.81:4120
山东教育,http://111.193.236.223:4022/rtp/239.3.1.52:4120
戏曲,http://111.193.236.223:4022/rtp/239.3.1.78:4120
收视指南,http://111.193.236.223:4022/rtp/239.3.1.193:8012
早教,http://111.193.236.223:4022/rtp/239.3.1.79:4120
武侠剧场,http://111.193.236.223:4022/rtp/239.3.1.90:4120
武术,http://111.193.236.223:4022/rtp/239.3.1.87:4120
爱生活,http://111.193.236.223:4022/rtp/239.3.1.86:4120
美人,http://111.193.236.223:4022/rtp/239.3.1.73:4120
美妆,http://111.193.236.223:4022/rtp/239.3.1.72:4120
财富天下,http://111.193.236.223:4022/rtp/239.3.1.53:9136
足球,http://111.193.236.223:4022/rtp/239.3.1.89:4120
金鹰卡通,http://111.193.236.223:4022/rtp/239.3.1.51:9252
鉴赏,http://111.193.236.223:4022/rtp/239.3.1.82:4120
音乐现场,http://111.193.236.223:4022/rtp/239.3.1.70:4120
高网,http://111.193.236.223:4022/rtp/239.3.1.88:4120
魅力时尚,http://111.193.236.223:4022/rtp/239.3.1.196:9012
山西联通组播,#genre#
山西黄河HD,http://171.119.204.54:6001/rtp/226.0.2.235:9792
山西经济与科技HD,http://171.119.204.54:6001/rtp/226.0.2.236:9800
山西影视HD,http://171.119.204.54:6001/rtp/226.0.2.237:9808
山西社会与法治HD,http://171.119.204.54:6001/rtp/226.0.2.238:9816
山西文体生活HD,http://171.119.204.54:6001/rtp/226.0.2.16:8040
山西卫视,http://171.119.204.54:6001/rtp/226.0.2.11:8000
山西黄河,http://171.119.204.54:6001/rtp/226.0.2.12:8008
山西经济与科技,http://171.119.204.54:6001/rtp/226.0.2.13:8016
山西影视,http://171.119.204.54:6001/rtp/226.0.2.14:8024
山西社会与法治,http://171.119.204.54:6001/rtp/226.0.2.15:8032
CCTV1-HD,http://171.119.204.54:6001/rtp/226.0.2.153:9136
CCTV2-HD,http://171.119.204.54:6001/rtp/226.0.2.154:9144
CCTV3-HD,http://171.119.204.54:6001/rtp/226.0.2.208:9576
CCTV4-HD,http://171.119.204.54:6001/rtp/226.0.2.156:9160
CCTV5-HD,http://171.119.204.54:6001/rtp/226.0.2.209:9584
CCTV6-HD,http://171.119.204.54:6001/rtp/226.0.2.210:9592
CCTV7-HD,http://171.119.204.54:6001/rtp/226.0.2.159:9184
CCTV8-HD,http://171.119.204.54:6001/rtp/226.0.2.211:9600
CCTV9-HD,http://171.119.204.54:6001/rtp/226.0.2.161:9200
CCTV10-HD,http://171.119.204.54:6001/rtp/226.0.2.162:9208
CCTV12-HD,http://171.119.204.54:6001/rtp/226.0.2.164:9224
CCTV13-HD,http://171.119.204.54:6001/rtp/226.0.2.165:9232
CCTV14-HD,http://171.119.204.54:6001/rtp/226.0.2.166:9240
CCTV5+-HD,http://171.119.204.54:6001/rtp/226.0.2.168:9256
CCTV16-HD,http://171.119.204.54:6001/rtp/226.0.2.169:9264
CCTV17-HD,http://171.119.204.54:6001/rtp/226.0.2.170:9272
CCTV1,http://171.119.204.54:6001/rtp/226.0.2.18:8056
CCTV2,http://171.119.204.54:6001/rtp/226.0.2.19:8064
CCTV3,http://171.119.204.54:6001/rtp/226.0.2.20:8072
CCTV4,http://171.119.204.54:6001/rtp/226.0.2.21:8080
CCTV5,http://171.119.204.54:6001/rtp/226.0.2.22:8088
CCTV6,http://171.119.204.54:6001/rtp/226.0.2.23:8096
CCTV7,http://171.119.204.54:6001/rtp/226.0.2.24:8104
CCTV8,http://171.119.204.54:6001/rtp/226.0.2.25:8112
CCTV9,http://171.119.204.54:6001/rtp/226.0.2.26:8120
CCTV10,http://171.119.204.54:6001/rtp/226.0.2.27:8128
CCTV11,http://171.119.204.54:6001/rtp/226.0.2.28:8136
CCTV12,http://171.119.204.54:6001/rtp/226.0.2.29:8144
CCTV13,http://171.119.204.54:6001/rtp/226.0.2.30:8152
CCTV14,http://171.119.204.54:6001/rtp/226.0.2.31:8160
CCTV15,http://171.119.204.54:6001/rtp/226.0.2.32:8168
CCTV17,http://171.119.204.54:6001/rtp/226.0.2.207:9568
湖南卫视HD,http://171.119.204.54:6001/rtp/226.0.2.143:9056
浙江卫视HD,http://171.119.204.54:6001/rtp/226.0.2.144:9064
安徽卫视HD,http://171.119.204.54:6001/rtp/226.0.2.145:9072
广东卫视HD,http://171.119.204.54:6001/rtp/226.0.2.146:9080
深圳卫视HD,http://171.119.204.54:6001/rtp/226.0.2.147:9088
天津卫视HD,http://171.119.204.54:6001/rtp/226.0.2.148:9096
山东卫视HD,http://171.119.204.54:6001/rtp/226.0.2.149:9104
湖北卫视HD,http://171.119.204.54:6001/rtp/226.0.2.150:9112
黑龙江卫视HD,http://171.119.204.54:6001/rtp/226.0.2.151:9120
山西卫视HD,http://171.119.204.54:6001/rtp/226.0.2.152:9128
金鹰卡通HD,http://171.119.204.54:6001/rtp/226.0.2.172:9288
辽宁卫视HD,http://171.119.204.54:6001/rtp/226.0.2.173:9296
重庆卫视HD,http://171.119.204.54:6001/rtp/226.0.2.174:9304
东方卫视HD,http://171.119.204.54:6001/rtp/226.0.2.175:9312
江苏卫视HD,http://171.119.204.54:6001/rtp/226.0.2.176:9320
北京卫视HD,http://171.119.204.54:6001/rtp/226.0.2.177:9328
河北卫视HD,http://171.119.204.54:6001/rtp/226.0.2.178:9336
四川卫视HD,http://171.119.204.54:6001/rtp/226.0.2.179:9344
贵州卫视HD,http://171.119.204.54:6001/rtp/226.0.2.180:9352
湖南卫视,http://171.119.204.54:6001/rtp/226.0.2.33:8176
东方卫视,http://171.119.204.54:6001/rtp/226.0.2.34:8184
辽宁卫视,http://171.119.204.54:6001/rtp/226.0.2.35:8192
浙江卫视,http://171.119.204.54:6001/rtp/226.0.2.36:8200
