4K频道,#genre#
CETV1,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227593/index.m3u8
CETV1,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226171/index.m3u8
CETV2,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226170/index.m3u8
CETV3,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226950/index.m3u8
CETV4,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226940/index.m3u8
CHC电影频道,#genre#
CHC动作电影,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227724/index.m3u8
CHC家庭影院,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227727/index.m3u8
CHC影迷电影,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227635/index.m3u8
省内频道,#genre#
辽宁卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226156/index.m3u8
辽宁卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226689/index.m3u8
辽宁卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227570/index.m3u8
辽宁卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227609/index.m3u8
辽宁卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227605/index.m3u8
辽宁卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226141/index.m3u8
辽宁北方,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227551/index.m3u8
辽宁北方,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227663/index.m3u8
辽宁都市,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227569/index.m3u8
辽宁都市,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227639/index.m3u8
辽宁公共,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227575/index.m3u8
辽宁公共,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227658/index.m3u8
辽宁教育青少,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227655/index.m3u8
辽宁教育青少,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227660/index.m3u8
辽宁经济,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227645/index.m3u8
辽宁经济,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227666/index.m3u8
辽宁生活,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227560/index.m3u8
辽宁生活,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227657/index.m3u8
辽宁体育休闲,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227642/index.m3u8
辽宁体育休闲,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227654/index.m3u8
辽宁宜佳购物,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227557/index.m3u8
辽宁宜佳购物,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227572/index.m3u8
辽宁移动电视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227554/index.m3u8
辽宁移动电视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227664/index.m3u8
辽宁影视剧,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227651/index.m3u8
辽宁影视剧,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227652/index.m3u8
沈阳新闻综合,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227563/index.m3u8
沈阳新闻综合,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227584/index.m3u8
阜新教育,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227662/index.m3u8
阜新新闻综合,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227717/index.m3u8
盘锦都市,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227659/index.m3u8
盘锦新闻综合,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227751/index.m3u8
卫视频道,#genre#
安多卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227561/index.m3u8
安徽卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227567/index.m3u8
安徽卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227634/index.m3u8
安徽卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227693/index.m3u8
安徽卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226196/index.m3u8
北京卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226195/index.m3u8
北京卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226666/index.m3u8
北京卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227473/index.m3u8
北京卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227616/index.m3u8
北京卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227688/index.m3u8
北京卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226185/index.m3u8
兵团卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227464/index.m3u8
重庆卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227580/index.m3u8
重庆卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227618/index.m3u8
重庆卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227614/index.m3u8
重庆卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226169/index.m3u8
东方卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227476/index.m3u8
东方卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226187/index.m3u8
东方卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226697/index.m3u8
东方卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227628/index.m3u8
东方卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227696/index.m3u8
东方卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226168/index.m3u8
东南卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227467/index.m3u8
东南卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227527/index.m3u8
东南卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226186/index.m3u8
甘肃卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227470/index.m3u8
甘肃卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226166/index.m3u8
广东卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226167/index.m3u8
广东卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226686/index.m3u8
广东卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227479/index.m3u8
广东卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227524/index.m3u8
广东卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227694/index.m3u8
广东卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226165/index.m3u8
广西卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227577/index.m3u8
广西卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227625/index.m3u8
广西卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226150/index.m3u8
贵州卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227564/index.m3u8
贵州卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226164/index.m3u8
海南卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227601/index.m3u8
海南卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226140/index.m3u8
河北卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227592/index.m3u8
河北卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227615/index.m3u8
河北卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226163/index.m3u8
河南卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227595/index.m3u8
河南卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227612/index.m3u8
河南卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226146/index.m3u8
黑龙江卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227583/index.m3u8
黑龙江卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221226145/index.m3u8
黑龙江卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227521/index.m3u8
黑龙江卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227702/index.m3u8
湖北卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227518/index.m3u8
湖北卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227586/index.m3u8
湖北卫视,http://hwottcdn1.ln.chinamobile.com/PLTV/11/224/3221227697/index.m3u8
